Time(s)	UserID	Position(x,y)	SelectedAP	Throughput(Mbps)
5.0	0	(4.94911,6.13805)	0	50.0
5.0	1	(10.4049,6.72781)	0	50.0
5.0	2	(1.00694,11.4635)	0	50.0
5.0	3	(9.40315,11.9445)	0	50.0
5.0	4	(21.6182,4.27347)	1	50.0
5.0	5	(24.1803,2.25227)	1	50.0
5.0	6	(5.12127,19.8665)	2	50.0
5.0	7	(11.5543,19.5544)	2	50.0
5.0	8	(5.19657,22.9803)	2	50.0
5.0	9	(20.1018,17.1573)	4	50.0
5.0	10	(24.8779,21.3069)	3	50.0
5.0	11	(18.5062,24.9029)	3	50.0
5.0	12	(26.1694,24.1233)	3	50.0
5.0	13	(13.9055,10.6597)	4	50.0
5.0	14	(20.3125,13.5643)	4	50.0
5.0	15	(9.04032,17.8558)	2	50.0
5.0	16	(18.3912,15.2163)	4	50.0
5.0	17	(14.1965,13.0301)	4	50.0
