クライアント数,重ユーザ数,軽ユーザ数,重ユーザ割合,シミュレーション時間,チャネル使用率,平均スループット,平均遅延,パケット損失率,タイムスタンプ
1,0,1,0,10,14.59,20.360,0.08,0.07,20251111_095800_t10.0s
2,0,2,0,10,33.31,20.361,0.37,0.06,20251111_095844_t10.0s
3,0,3,0,10,43.26,20.366,0.50,0.04,20251111_095922_t10.0s
4,0,4,0,10,50.05,20.353,1.21,0.10,20251111_100111_t10.0s
5,0,5,0,10,49.88,16.281,1.23,20.09,20251111_100238_t10.0s
6,0,6,0,10,55.69,16.945,3.33,16.83,20251111_100349_t10.0s
7,0,7,0,10,61.76,17.393,6.33,14.63,20251111_100531_t10.0s
8,0,8,0,10,68.13,17.744,12.83,12.91,20251111_100640_t10.0s
9,0,9,0,10,78.82,20.201,65.24,0.85,20251111_100748_t10.0s
10,0,10,0,10,80.94,19.707,118.21,3.27,20251111_101013_t10.0s
