Time(s)	UserID	Position(x,y)	SelectedAP	Throughput(Mbps)	UserType
5.0	0	(4.07715,5.22842)	0	150	Existing
5.0	1	(4.31182,9.43608)	0	150	Existing
5.0	2	(7.63848,8.54169)	0	150	Existing
5.0	3	(19.747,4.85754)	1	150	Existing
5.0	4	(4.67082,23.4257)	2	150	Existing
5.0	5	(5.61072,25.0897)	2	150	Existing
5.0	6	(18.9036,21.2296)	3	150	Existing
5.0	7	(21.1868,25.5854)	3	150	Existing
5.0	8	(24.021,23.51)	3	150	Existing
5.0	9	(18.1568,15.265)	1	130	New
5.0	10	(4.98951,7.8669)	0	150	Existing
5.0	11	(8.27936,9.17439)	0	150	Existing
5.0	12	(9.94911,11.1381)	0	150	Existing
5.0	13	(20.4049,6.72781)	0	100	Existing
