Time(s)	UserID	Position(x,y)	SelectedAP	Throughput(Mbps)	UserType
5.0	0	(4.07715,5.22842)	0	150	Existing
5.0	1	(9.31182,4.43608)	0	150	Existing
5.0	2	(2.63848,8.54169)	0	150	Existing
5.0	3	(9.747,9.85754)	1	100	Existing
5.0	4	(19.6708,8.42565)	2	65	Existing
5.0	5	(25.6107,5.08974)	2	6.5	Existing
5.0	6	(3.90358,21.2296)	3	65	Existing
5.0	7	(11.1868,20.5854)	3	100	Existing
5.0	8	(4.02105,23.51)	3	65	Existing
5.0	9	(23.1568,20.265)	3	150	New
5.0	10	(24.9895,22.8669)	0	30	Existing
5.0	11	(23.2794,24.1744)	0	30	Existing
5.0	12	(24.9491,26.1381)	0	6.5	Existing
5.0	13	(12.4049,9.72781)	0	130	Existing
