Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,15.00,130.00,15.30,AP0,180.00,140.00,28.57,22.52,23.20,45.72
myargo,User1,15.00,130.00,15.60,AP0,180.00,140.00,28.57,22.52,23.20,45.72
myargo,User0,15.00,130.00,6.00,AP0,180.00,168.00,7.14,42.45,19.95,62.40
myargo,User1,15.00,130.00,5.70,AP0,180.00,168.00,7.14,42.45,19.95,62.40
myargo,User0,15.00,130.00,15.30,AP0,180.00,140.00,28.57,19.48,36.29,55.77
myargo,User1,15.00,130.00,15.90,AP0,180.00,140.00,28.57,19.48,36.29,55.77
myargo,User0,15.00,130.00,1.80,AP0,180.00,175.71,2.44,33.69,44.85,78.54
myargo,User1,15.00,130.00,2.70,AP0,180.00,175.71,2.44,33.69,44.85,78.54
myargo,User0,15.00,130.00,14.40,AP0,180.00,167.27,7.61,21.69,36.22,57.91
myargo,User1,15.00,130.00,1.50,AP0,180.00,167.27,7.61,21.69,36.22,57.91
myargo,User0,15.00,130.00,10.20,AP0,180.00,162.58,10.71,33.22,23.26,56.48
myargo,User1,15.00,130.00,14.40,AP0,180.00,162.58,10.71,33.22,23.26,56.48
myargo,User0,15.00,130.00,16.50,AP0,180.00,156.28,15.18,21.34,30.68,52.02
myargo,User1,15.00,130.00,5.40,AP0,180.00,156.28,15.18,21.34,30.68,52.02
myargo,User0,15.00,130.00,0.30,AP0,180.00,172.08,4.61,25.30,31.51,56.82
myargo,User1,15.00,130.00,7.50,AP0,180.00,172.08,4.61,25.30,31.51,56.82
myargo,User0,15.00,130.00,14.40,AP0,180.00,162.58,10.71,39.69,19.83,59.52
myargo,User1,15.00,130.00,8.10,AP0,180.00,162.58,10.71,39.69,19.83,59.52
myargo,User0,15.00,130.00,18.30,AP0,205.71,156.76,31.23,32.56,42.49,75.05
myargo,User1,15.00,130.00,2.70,AP1,205.71,156.76,31.23,32.56,42.49,75.05
myargo,User0,15.00,130.00,2.40,AP0,180.00,161.74,11.29,43.56,43.25,86.81
myargo,User1,15.00,130.00,18.60,AP0,180.00,161.74,11.29,43.56,43.25,86.81
myargo,User0,15.00,130.00,12.90,AP0,180.00,162.58,10.71,24.45,21.95,46.40
myargo,User1,15.00,130.00,8.10,AP0,180.00,162.58,10.71,24.45,21.95,46.40
myargo,User0,15.00,130.00,0.90,AP0,180.00,174.55,3.13,37.39,26.50,63.90
myargo,User1,15.00,130.00,6.00,AP0,180.00,174.55,3.13,37.39,26.50,63.90
myargo,User0,15.00,130.00,4.50,AP0,180.00,194.59,-7.50,34.41,22.36,56.77
myargo,User1,15.00,130.00,21.51,AP0,180.00,194.59,-7.50,34.41,22.36,56.77
myargo,User0,15.00,130.00,5.70,AP0,180.00,168.00,7.14,20.36,31.31,51.67
myargo,User1,15.00,130.00,7.80,AP0,180.00,168.00,7.14,20.36,31.31,51.67
myargo,User0,15.00,130.00,6.60,AP0,180.00,168.00,7.14,32.32,20.60,52.92
myargo,User1,15.00,130.00,7.50,AP0,180.00,168.00,7.14,32.32,20.60,52.92
myargo,User0,15.00,130.00,15.30,AP0,180.00,156.28,15.18,22.08,37.07,59.15
myargo,User1,15.00,130.00,8.70,AP0,180.00,156.28,15.18,22.08,37.07,59.15
myargo,User0,15.00,130.00,18.30,AP0,180.00,140.00,28.57,35.40,20.19,55.60
myargo,User1,15.00,130.00,17.10,AP0,180.00,140.00,28.57,35.40,20.19,55.60
myargo,User0,15.00,130.00,3.00,AP0,180.00,175.71,2.44,24.48,42.32,66.81
myargo,User1,15.00,130.00,1.50,AP0,180.00,175.71,2.44,24.48,42.32,66.81
myargo,User0,15.00,130.00,3.30,AP0,180.00,175.71,2.44,37.89,47.77,85.66
myargo,User1,15.00,130.00,4.80,AP0,180.00,175.71,2.44,37.89,47.77,85.66
myargo,User0,15.00,130.00,20.51,AP0,180.00,156.76,14.83,33.31,22.01,55.32
myargo,User1,15.00,130.00,18.00,AP0,180.00,156.76,14.83,33.31,22.01,55.32
myargo,User0,15.00,130.00,17.10,AP0,180.00,140.00,28.57,19.61,37.01,56.62
myargo,User1,15.00,130.00,18.00,AP0,180.00,140.00,28.57,19.61,37.01,56.62
myargo,User0,15.00,130.00,8.10,AP0,180.00,162.58,10.71,24.05,24.68,48.72
myargo,User1,15.00,130.00,12.00,AP0,180.00,162.58,10.71,24.05,24.68,48.72
myargo,User0,15.00,130.00,9.60,AP0,180.00,156.28,15.18,21.22,31.80,53.02
myargo,User1,15.00,130.00,18.60,AP0,180.00,156.28,15.18,21.22,31.80,53.02
myargo,User0,15.00,130.00,19.80,AP0,180.00,148.86,20.92,21.89,25.23,47.12
myargo,User1,15.00,130.00,10.50,AP0,180.00,148.86,20.92,21.89,25.23,47.12
myargo,User0,15.00,130.00,3.90,AP0,180.00,157.53,14.27,23.42,40.53,63.95
myargo,User1,15.00,130.00,20.70,AP0,180.00,157.53,14.27,23.42,40.53,63.95
myargo,User0,15.00,130.00,15.30,AP0,180.00,148.86,20.92,22.56,23.29,45.84
myargo,User1,15.00,130.00,12.60,AP0,180.00,148.86,20.92,22.56,23.29,45.84
myargo,User0,15.00,130.00,0.00,AP0,180.00,174.55,3.13,24.84,48.46,73.30
myargo,User1,15.00,130.00,6.00,AP0,180.00,174.55,3.13,24.84,48.46,73.30
myargo,User0,15.00,130.00,15.60,AP0,180.00,165.00,9.09,41.25,35.55,76.80
myargo,User1,15.00,130.00,0.00,AP0,180.00,165.00,9.09,41.25,35.55,76.80
myargo,User0,15.00,130.00,7.80,AP0,180.00,174.55,3.13,21.47,40.57,62.04
myargo,User1,15.00,130.00,0.00,AP0,180.00,174.55,3.13,21.47,40.57,62.04
myargo,User0,15.00,130.00,11.10,AP0,180.00,162.58,10.71,23.56,30.19,53.74
myargo,User1,15.00,130.00,6.60,AP0,180.00,162.58,10.71,23.56,30.19,53.74
myargo,User0,15.00,130.00,3.00,AP0,180.00,161.74,11.29,31.29,39.95,71.24
myargo,User1,15.00,130.00,16.50,AP0,180.00,161.74,11.29,31.29,39.95,71.24
myargo,User0,15.00,130.00,3.00,AP0,180.00,177.93,1.16,40.57,31.46,72.03
myargo,User1,15.00,130.00,1.80,AP0,180.00,177.93,1.16,40.57,31.46,72.03
myargo,User0,15.00,130.00,18.00,AP0,180.00,140.00,28.57,26.05,25.59,51.64
myargo,User1,15.00,130.00,15.60,AP0,180.00,140.00,28.57,26.05,25.59,51.64
myargo,User0,15.00,130.00,3.00,AP0,180.00,174.55,3.13,29.25,30.72,59.96
myargo,User1,15.00,130.00,7.20,AP0,180.00,174.55,3.13,29.25,30.72,59.96
myargo,User0,15.00,130.00,12.30,AP0,180.00,156.28,15.18,19.59,32.20,51.79
myargo,User1,15.00,130.00,11.10,AP0,180.00,156.28,15.18,19.59,32.20,51.79
myargo,User0,15.00,130.00,8.40,AP0,180.00,162.58,10.71,25.31,23.54,48.86
myargo,User1,15.00,130.00,15.00,AP0,180.00,162.58,10.71,25.31,23.54,48.86
myargo,User0,15.00,130.00,4.50,AP0,180.00,161.74,11.29,25.61,21.00,46.61
myargo,User1,15.00,130.00,15.90,AP0,180.00,161.74,11.29,25.61,21.00,46.61
myargo,User0,15.00,130.00,17.10,AP0,180.00,148.86,20.92,24.79,29.36,54.16
myargo,User1,15.00,130.00,12.90,AP0,180.00,148.86,20.92,24.79,29.36,54.16
myargo,User0,15.00,130.00,12.00,AP0,180.00,167.27,7.61,23.84,21.85,45.70
myargo,User1,15.00,130.00,2.40,AP0,180.00,167.27,7.61,23.84,21.85,45.70
myargo,User0,15.00,130.00,2.10,AP0,180.00,174.55,3.13,32.60,36.64,69.24
myargo,User1,15.00,130.00,8.10,AP0,180.00,174.55,3.13,32.60,36.64,69.24
myargo,User0,15.00,130.00,3.00,AP0,180.00,180.00,0.00,36.76,26.57,63.33
myargo,User1,15.00,130.00,0.00,AP0,180.00,180.00,0.00,36.76,26.57,63.33
myargo,User0,15.00,130.00,13.50,AP0,180.00,148.86,20.92,26.85,25.41,52.26
myargo,User1,15.00,130.00,16.80,AP0,180.00,148.86,20.92,26.85,25.41,52.26
myargo,User0,15.00,130.00,16.80,AP0,180.00,161.74,11.29,45.20,37.25,82.45
myargo,User1,15.00,130.00,1.80,AP0,180.00,161.74,11.29,45.20,37.25,82.45
myargo,User0,15.00,130.00,0.30,AP0,180.00,172.08,4.61,19.89,33.11,53.01
myargo,User1,15.00,130.00,9.00,AP0,180.00,172.08,4.61,19.89,33.11,53.01
myargo,User0,15.00,130.00,1.50,AP0,180.00,174.55,3.13,45.31,26.96,72.27
myargo,User1,15.00,130.00,8.40,AP0,180.00,174.55,3.13,45.31,26.96,72.27
myargo,User0,15.00,130.00,11.40,AP0,180.00,167.27,7.61,41.56,24.56,66.12
myargo,User1,15.00,130.00,3.90,AP0,180.00,167.27,7.61,41.56,24.56,66.12
myargo,User0,15.00,130.00,1.50,AP0,180.00,177.93,1.16,29.06,32.10,61.16
myargo,User1,15.00,130.00,0.60,AP0,180.00,177.93,1.16,29.06,32.10,61.16
myargo,User0,15.00,130.00,2.40,AP0,180.00,170.10,5.82,30.22,33.84,64.06
myargo,User1,15.00,130.00,12.00,AP0,180.00,170.10,5.82,30.22,33.84,64.06
myargo,User0,15.00,130.00,9.30,AP0,180.00,156.28,15.18,21.21,33.27,54.48
myargo,User1,15.00,130.00,18.30,AP0,180.00,156.28,15.18,21.21,33.27,54.48
myargo,User0,15.00,130.00,2.70,AP0,205.71,199.60,3.06,42.99,32.03,75.01
myargo,User1,15.00,130.00,0.00,AP1,205.71,199.60,3.06,42.99,32.03,75.01
myargo,User0,15.00,130.00,16.20,AP0,180.00,148.86,20.92,26.38,21.14,47.53
myargo,User1,15.00,130.00,14.70,AP0,180.00,148.86,20.92,26.38,21.14,47.53
myargo,User0,15.00,130.00,16.80,AP0,180.00,156.28,15.18,38.98,27.45,66.43
myargo,User1,15.00,130.00,5.70,AP0,180.00,156.28,15.18,38.98,27.45,66.43
myargo,User0,15.00,130.00,10.50,AP0,180.00,162.58,10.71,20.53,33.41,53.94
myargo,User1,15.00,130.00,5.70,AP0,180.00,162.58,10.71,20.53,33.41,53.94
myargo,User0,15.00,130.00,13.20,AP0,180.00,170.10,5.82,31.96,31.33,63.29
myargo,User1,15.00,130.00,2.40,AP0,180.00,170.10,5.82,31.96,31.33,63.29
