Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,15.00,100.00,25.80,AP1,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User1,15.00,100.00,33.30,AP3,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User2,15.00,100.00,33.90,AP2,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User3,15.00,100.00,27.60,AP1,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User4,15.00,100.00,21.90,AP0,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User5,15.00,100.00,33.60,AP2,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User6,15.00,100.00,11.70,AP1,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User7,15.00,100.00,15.30,AP0,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User8,15.00,100.00,17.40,AP3,896.81,691.32,29.73,1046.35,873.48,1919.83
myargo,User9,15.00,100.00,16.50,AP3,896.81,691.32,29.73,1046.35,873.48,1919.83
