Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,14.95,30.00,0.30,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User1,14.95,30.00,10.50,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User2,14.95,30.00,0.00,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User3,14.95,30.00,15.00,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User4,14.95,30.00,2.10,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User5,14.95,30.00,2.10,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User6,14.95,30.00,11.70,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User7,14.95,30.00,4.50,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User8,14.95,30.00,7.20,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User9,14.95,30.00,0.00,AP0,3463.60,3192.40,8.50,225.82,210.19,436.00
myargo,User0,14.95,30.00,10.80,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User1,14.95,30.00,0.00,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User2,14.95,30.00,11.70,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User3,14.95,30.00,0.00,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User4,14.95,30.00,14.70,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User5,14.95,30.00,0.00,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User6,14.95,30.00,5.70,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User7,14.95,30.00,12.90,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User8,14.95,30.00,0.30,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User9,14.95,30.00,11.10,AP0,4675.20,4366.40,7.07,196.72,187.47,384.19
myargo,User0,14.95,30.00,8.10,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User1,14.95,30.00,0.00,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User2,14.95,30.00,0.00,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User3,14.95,30.00,0.00,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User4,14.95,30.00,0.00,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User5,14.95,30.00,3.00,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User6,14.95,30.00,4.80,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User7,14.95,30.00,7.80,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User8,14.95,30.00,14.40,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User9,14.95,30.00,9.90,AP0,4349.20,4106.00,5.92,197.91,220.22,418.14
myargo,User0,14.95,30.00,10.50,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User1,14.95,30.00,5.40,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User2,14.95,30.00,5.70,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User3,14.95,30.00,0.00,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User4,14.95,30.00,5.40,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User5,14.95,30.00,0.00,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User6,14.95,30.00,5.70,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User7,14.95,30.00,0.00,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User8,14.95,30.00,0.00,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User9,14.95,30.00,7.80,AP0,4727.60,4446.80,6.31,202.40,173.66,376.06
myargo,User0,14.95,30.00,6.90,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User1,14.95,30.00,2.10,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User2,14.95,30.00,10.50,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User3,14.95,30.00,0.00,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User4,14.95,30.00,0.00,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User5,14.95,30.00,8.70,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User6,14.95,30.00,0.00,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User7,14.95,30.00,3.60,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User8,14.95,30.00,0.00,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User9,14.95,30.00,2.10,AP0,3971.20,3746.80,5.99,219.11,186.56,405.67
myargo,User0,14.95,30.00,3.90,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User1,14.95,30.00,9.60,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User2,14.95,30.00,9.00,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User3,14.95,30.00,12.60,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User4,14.95,30.00,0.00,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User5,14.95,30.00,2.10,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User6,14.95,30.00,0.00,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User7,14.95,30.00,0.30,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User8,14.95,30.00,9.30,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User9,14.95,30.00,6.90,AP0,4784.40,4466.40,7.12,215.05,191.83,406.89
myargo,User0,14.95,30.00,12.00,AP0,4676.80,4414.80,5.93,159.64,210.26,369.90
myargo,User1,14.95,30.00,9.60,AP0,4676.80,4414.80,5.93,159.64,210.26,369.90
