Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo,User0,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User1,14.95,30.00,0.00,AP3,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User2,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User3,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User4,14.95,30.00,0.00,AP0,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User5,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User6,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User7,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User8,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User9,14.95,30.00,0.00,AP3,1789.57,1789.57,0.00,230.69,218.10,448.79
myargo,User0,14.95,30.00,0.00,AP0,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User1,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User2,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User3,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User4,14.95,30.00,0.00,AP0,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User5,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User6,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User7,14.95,30.00,0.00,AP2,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User8,14.95,30.00,0.00,AP3,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User9,14.95,30.00,0.00,AP1,1789.57,1789.57,0.00,211.89,189.52,401.42
myargo,User0,14.95,30.00,0.00,AP1,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User1,14.95,30.00,0.00,AP0,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User2,14.95,30.00,0.00,AP2,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User3,14.95,30.00,0.00,AP0,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User4,14.95,30.00,0.00,AP3,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User5,14.95,30.00,0.00,AP1,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User6,14.95,30.00,0.00,AP3,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User7,14.95,30.00,0.00,AP3,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User8,14.95,30.00,0.00,AP0,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User9,14.95,30.00,0.00,AP3,1785.09,1785.09,0.00,184.97,167.17,352.13
myargo,User0,14.95,30.00,0.00,AP2,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User1,14.95,30.00,0.00,AP2,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User2,14.95,30.00,0.00,AP3,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User3,14.95,30.00,0.00,AP2,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User4,14.95,30.00,0.00,AP3,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User5,14.95,30.00,0.00,AP0,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User6,14.95,30.00,0.00,AP2,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User7,14.95,30.00,0.00,AP0,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User8,14.95,30.00,0.00,AP1,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User9,14.95,30.00,0.00,AP0,1730.07,1730.07,0.00,180.75,189.71,370.46
myargo,User0,14.95,30.00,0.00,AP3,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User1,14.95,30.00,0.00,AP0,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User2,14.95,30.00,0.00,AP2,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User3,14.95,30.00,0.00,AP2,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User4,14.95,30.00,0.00,AP1,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User5,14.95,30.00,0.00,AP3,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User6,14.95,30.00,0.00,AP1,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User7,14.95,30.00,0.00,AP1,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User8,14.95,30.00,0.00,AP3,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User9,14.95,30.00,0.00,AP1,1842.15,1842.15,0.00,217.48,200.10,417.57
myargo,User0,14.95,30.00,0.00,AP0,1815.26,1815.26,0.00,161.42,233.36,394.79
myargo,User1,14.95,30.00,0.00,AP1,1815.26,1815.26,0.00,161.42,233.36,394.79
myargo,User2,14.95,30.00,0.00,AP1,1815.26,1815.26,0.00,161.42,233.36,394.79
myargo,User3,14.95,30.00,0.00,AP3,1815.26,1815.26,0.00,161.42,233.36,394.79
