Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate
random,User0,15.00,90.00,12.90,AP1,83.82,127.28,-34.15
random,User1,15.00,90.00,3.00,AP0,83.82,127.28,-34.15
random,User0,15.00,90.00,8.10,AP1,82.88,127.28,-34.89
random,User1,15.00,90.00,0.00,AP0,82.88,127.28,-34.89
random,User0,15.00,90.00,4.80,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,11.70,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,0.60,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,8.70,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,2.40,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,4.20,AP0,74.26,127.28,-41.65
random,User1,15.00,90.00,4.20,AP0,74.26,127.28,-41.65
random,User0,15.00,90.00,9.60,AP0,159.90,127.28,25.63
random,User1,15.00,90.00,0.00,AP0,159.90,127.28,25.63
random,User0,15.00,90.00,6.60,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,13.20,AP0,146.27,127.28,14.92
random,User1,15.00,90.00,0.30,AP0,146.27,127.28,14.92
random,User0,15.00,90.00,4.50,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,0.60,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,1.50,AP0,146.27,127.28,14.92
random,User1,15.00,90.00,6.00,AP0,146.27,127.28,14.92
random,User0,15.00,90.00,6.30,AP0,146.27,127.28,14.92
random,User1,15.00,90.00,12.60,AP0,146.27,127.28,14.92
random,User0,15.00,90.00,3.00,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,2.40,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,0.00,AP0,82.88,127.28,-34.89
random,User1,15.00,90.00,7.50,AP1,82.88,127.28,-34.89
random,User0,15.00,90.00,5.10,AP0,146.27,127.28,14.92
random,User1,15.00,90.00,3.30,AP0,146.27,127.28,14.92
random,User0,15.00,90.00,10.80,AP0,159.90,127.28,25.63
random,User1,15.00,90.00,6.60,AP0,159.90,127.28,25.63
random,User0,15.00,90.00,4.80,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,1.50,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,4.50,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,2.10,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,3.30,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,1.80,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,0.30,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,9.60,AP0,159.90,127.28,25.63
random,User1,15.00,90.00,4.80,AP0,159.90,127.28,25.63
random,User0,15.00,90.00,11.40,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,2.10,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,3.90,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,1.20,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,0.30,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,11.40,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,7.80,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,5.40,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,1.80,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,3.60,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,7.50,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,5.70,AP0,146.27,127.28,14.92
random,User1,15.00,90.00,1.80,AP0,146.27,127.28,14.92
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,0.00,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,1.50,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,3.90,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,8.70,AP0,159.90,127.28,25.63
random,User1,15.00,90.00,9.60,AP0,159.90,127.28,25.63
random,User0,15.00,90.00,2.10,AP0,103.87,127.28,-18.40
random,User1,15.00,90.00,3.30,AP0,103.87,127.28,-18.40
random,User0,15.00,90.00,3.90,AP0,146.27,127.28,14.92
random,User1,15.00,90.00,3.00,AP0,146.27,127.28,14.92
random,User0,15.00,90.00,9.00,AP0,159.90,127.28,25.63
random,User1,15.00,90.00,2.70,AP0,159.90,127.28,25.63
random,User0,15.00,90.00,3.30,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,8.40,AP0,127.28,127.28,0.00
random,User0,15.00,90.00,3.30,AP0,42.95,127.28,-66.26
random,User1,15.00,90.00,7.80,AP1,42.95,127.28,-66.26
random,User0,15.00,90.00,6.60,AP0,127.28,127.28,0.00
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00
