Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,CenterX,CenterY,VarianceX,VarianceY,TotalPositionVariance
random,User0,15.00,90.00,13.80,AP1,83.82,127.28,-34.15,7.73,10.43,18.78,39.14,57.92
random,User1,15.00,90.00,3.30,AP0,83.82,127.28,-34.15,7.73,10.43,18.78,39.14,57.92
random,User0,15.00,90.00,1.50,AP0,127.28,127.28,0.00,12.09,11.60,46.63,91.63,138.26
random,User1,15.00,90.00,9.30,AP0,127.28,127.28,0.00,12.09,11.60,46.63,91.63,138.26
random,User0,15.00,90.00,3.60,AP0,103.87,127.28,-18.40,9.68,11.24,49.29,95.59,144.88
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,9.68,11.24,49.29,95.59,144.88
random,User0,15.00,90.00,4.20,AP0,143.78,127.28,12.96,12.43,8.46,74.46,26.61,101.07
random,User1,15.00,90.00,11.40,AP0,143.78,127.28,12.96,12.43,8.46,74.46,26.61,101.07
random,User0,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.93,11.27,58.32,96.69,155.01
random,User1,15.00,90.00,5.10,AP0,127.28,127.28,0.00,10.93,11.27,58.32,96.69,155.01
random,User0,15.00,90.00,6.60,AP1,82.88,127.28,-34.89,9.08,9.86,36.67,53.64,90.30
random,User1,15.00,90.00,2.70,AP0,82.88,127.28,-34.89,9.08,9.86,36.67,53.64,90.30
random,User0,15.00,90.00,0.30,AP0,127.28,127.28,0.00,10.46,10.06,64.17,58.75,122.92
random,User1,15.00,90.00,1.80,AP0,127.28,127.28,0.00,10.46,10.06,64.17,58.75,122.92
random,User0,15.00,90.00,3.60,AP0,127.28,127.28,0.00,12.99,10.85,63.77,82.27,146.03
random,User1,15.00,90.00,9.60,AP0,127.28,127.28,0.00,12.99,10.85,63.77,82.27,146.03
random,User0,15.00,90.00,12.30,AP0,161.98,127.28,27.26,11.04,11.73,54.84,18.91,73.75
random,User1,15.00,90.00,6.60,AP0,161.98,127.28,27.26,11.04,11.73,54.84,18.91,73.75
random,User0,15.00,90.00,2.70,AP0,83.82,127.28,-34.15,11.05,7.64,82.79,18.13,100.93
random,User1,15.00,90.00,13.80,AP1,83.82,127.28,-34.15,11.05,7.64,82.79,18.13,100.93
random,User0,15.00,90.00,1.50,AP0,127.28,127.28,0.00,10.69,10.84,77.03,77.61,154.64
random,User1,15.00,90.00,1.80,AP0,127.28,127.28,0.00,10.69,10.84,77.03,77.61,154.64
random,User0,15.00,90.00,0.60,AP0,127.28,127.28,0.00,10.45,9.82,61.41,52.77,114.17
random,User1,15.00,90.00,3.00,AP0,127.28,127.28,0.00,10.45,9.82,61.41,52.77,114.17
random,User0,15.00,90.00,7.80,AP0,146.27,127.28,14.92,10.85,11.85,76.81,44.16,120.97
random,User1,15.00,90.00,0.60,AP0,146.27,127.28,14.92,10.85,11.85,76.81,44.16,120.97
random,User0,15.00,90.00,0.60,AP0,127.28,127.28,0.00,11.15,11.30,60.04,96.41,156.46
random,User1,15.00,90.00,5.40,AP0,127.28,127.28,0.00,11.15,11.30,60.04,96.41,156.46
random,User0,15.00,90.00,0.30,AP0,127.28,127.28,0.00,10.34,10.42,66.60,67.83,134.43
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.34,10.42,66.60,67.83,134.43
random,User0,15.00,90.00,1.50,AP0,127.28,127.28,0.00,10.25,10.14,56.89,60.93,117.82
random,User1,15.00,90.00,1.50,AP0,127.28,127.28,0.00,10.25,10.14,56.89,60.93,117.82
random,User0,15.00,90.00,6.60,AP1,82.88,127.28,-34.89,9.08,10.46,36.67,70.01,106.67
random,User1,15.00,90.00,0.30,AP0,82.88,127.28,-34.89,9.08,10.46,36.67,70.01,106.67
random,User0,15.00,90.00,0.00,AP0,103.87,127.28,-18.40,10.40,11.24,68.24,95.59,163.83
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,10.40,11.24,68.24,95.59,163.83
random,User0,15.00,90.00,9.00,AP0,81.65,127.28,-35.85,11.32,10.87,98.45,22.10,120.55
random,User1,15.00,90.00,5.40,AP1,81.65,127.28,-35.85,11.32,10.87,98.45,22.10,120.55
random,User0,15.00,90.00,9.30,AP0,161.98,127.28,27.26,11.42,11.59,43.90,28.39,72.29
random,User1,15.00,90.00,6.90,AP0,161.98,127.28,27.26,11.42,11.59,43.90,28.39,72.29
random,User0,15.00,90.00,11.40,AP0,146.27,127.28,14.92,12.01,13.42,78.71,67.29,145.99
random,User1,15.00,90.00,6.00,AP0,146.27,127.28,14.92,12.01,13.42,78.71,67.29,145.99
random,User0,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.42,11.22,91.78,94.93,186.71
random,User1,15.00,90.00,4.20,AP0,103.87,127.28,-18.40,11.42,11.22,91.78,94.93,186.71
random,User0,15.00,90.00,4.80,AP0,159.90,127.28,25.63,10.83,8.44,25.37,26.43,51.80
random,User1,15.00,90.00,12.00,AP0,159.90,127.28,25.63,10.83,8.44,25.37,26.43,51.80
random,User0,15.00,90.00,3.00,AP0,146.27,127.28,14.92,11.22,10.66,32.43,76.19,108.62
random,User1,15.00,90.00,7.20,AP0,146.27,127.28,14.92,11.22,10.66,32.43,76.19,108.62
random,User0,15.00,90.00,4.80,AP0,146.27,127.28,14.92,13.03,10.86,67.84,58.69,126.53
random,User1,15.00,90.00,9.00,AP0,146.27,127.28,14.92,13.03,10.86,67.84,58.69,126.53
random,User0,15.00,90.00,10.80,AP0,173.43,127.28,36.25,10.40,11.49,56.90,20.21,77.12
random,User1,15.00,90.00,5.40,AP0,173.43,127.28,36.25,10.40,11.49,56.90,20.21,77.12
random,User0,15.00,90.00,11.10,AP0,137.77,127.28,8.24,10.34,11.12,61.20,13.69,74.89
random,User1,15.00,90.00,7.50,AP1,137.77,127.28,8.24,10.34,11.12,61.20,13.69,74.89
random,User0,15.00,90.00,0.30,AP0,127.28,127.28,0.00,10.34,10.40,66.50,68.24,134.74
random,User1,15.00,90.00,0.00,AP0,127.28,127.28,0.00,10.34,10.40,66.50,68.24,134.74
random,User0,15.00,90.00,8.10,AP0,146.27,127.28,14.92,11.89,12.92,39.58,72.22,111.80
random,User1,15.00,90.00,9.60,AP0,146.27,127.28,14.92,11.89,12.92,39.58,72.22,111.80
