Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User0,14.95,30.00,10.09,AP3,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User1,14.95,30.00,12.43,AP1,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User2,14.95,30.00,14.26,AP0,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User3,14.95,30.00,6.22,AP1,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User4,14.95,30.00,10.13,AP2,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User5,14.95,30.00,9.01,AP3,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User6,14.95,30.00,14.23,AP1,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User7,14.95,30.00,11.41,AP3,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User8,14.95,30.00,4.72,AP0,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User9,14.95,30.00,9.63,AP1,1768.75,1767.22,0.09,204.80,211.60,416.41
random,User0,14.95,30.00,5.20,AP3,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User1,14.95,30.00,13.82,AP1,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User2,14.95,30.00,2.20,AP2,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User3,14.95,30.00,5.97,AP3,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User4,14.95,30.00,11.66,AP3,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User5,14.95,30.00,4.94,AP2,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User6,14.95,30.00,13.86,AP2,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User7,14.95,30.00,9.74,AP3,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User8,14.95,30.00,0.34,AP2,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User9,14.95,30.00,6.38,AP0,1824.85,1804.94,1.10,207.10,209.86,416.96
random,User0,14.95,30.00,8.15,AP3,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User1,14.95,30.00,11.36,AP0,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User2,14.95,30.00,3.26,AP0,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User3,14.95,30.00,9.53,AP1,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User4,14.95,30.00,1.50,AP0,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User5,14.95,30.00,10.10,AP1,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User6,14.95,30.00,3.80,AP0,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User7,14.95,30.00,11.50,AP0,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User8,14.95,30.00,6.46,AP3,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User9,14.95,30.00,7.66,AP3,1851.86,1869.74,-0.96,208.82,189.72,398.54
random,User0,14.95,30.00,4.78,AP0,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User1,14.95,30.00,5.89,AP2,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User2,14.95,30.00,4.03,AP3,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User3,14.95,30.00,4.35,AP0,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User4,14.95,30.00,8.90,AP0,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User5,14.95,30.00,7.24,AP2,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User6,14.95,30.00,2.44,AP3,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User7,14.95,30.00,6.62,AP1,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User8,14.95,30.00,6.19,AP2,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User9,14.95,30.00,4.81,AP0,1729.80,1725.46,0.25,202.26,245.24,447.50
random,User0,14.95,30.00,11.39,AP1,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User1,14.95,30.00,2.31,AP2,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User2,14.95,30.00,1.91,AP3,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User3,14.95,30.00,0.89,AP2,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User4,14.95,30.00,7.08,AP0,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User5,14.95,30.00,4.97,AP2,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User6,14.95,30.00,0.14,AP2,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User7,14.95,30.00,2.89,AP2,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User8,14.95,30.00,6.94,AP3,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User9,14.95,30.00,4.17,AP1,1728.52,1719.26,0.54,255.97,180.47,436.43
random,User0,14.95,30.00,5.80,AP2,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User1,14.95,30.00,13.73,AP1,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User2,14.95,30.00,5.08,AP1,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User3,14.95,30.00,6.52,AP0,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User4,14.95,30.00,10.75,AP0,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User5,14.95,30.00,0.68,AP2,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User6,14.95,30.00,5.20,AP2,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User7,14.95,30.00,12.97,AP2,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User8,14.95,30.00,2.06,AP0,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User9,14.95,30.00,5.98,AP0,1679.92,1737.67,-3.32,214.25,221.83,436.08
random,User0,14.95,30.00,8.07,AP2,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User1,14.95,30.00,8.08,AP3,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User2,14.95,30.00,8.54,AP0,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User3,14.95,30.00,4.23,AP3,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User4,14.95,30.00,4.62,AP1,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User5,14.95,30.00,4.33,AP0,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User6,14.95,30.00,6.89,AP0,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User7,14.95,30.00,0.83,AP0,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User8,14.95,30.00,0.99,AP0,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User9,14.95,30.00,0.63,AP2,1767.54,1773.11,-0.31,180.62,216.81,397.43
random,User0,14.95,30.00,0.71,AP2,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User1,14.95,30.00,10.35,AP0,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User2,14.95,30.00,6.48,AP2,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User3,14.95,30.00,3.95,AP0,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User4,14.95,30.00,0.78,AP1,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User5,14.95,30.00,6.16,AP3,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User6,14.95,30.00,5.49,AP1,1687.40,1686.10,0.08,185.30,207.29,392.59
random,User7,14.95,30.00,5.74,AP1,1687.40,1686.10,0.08,185.30,207.29,392.59
