Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User0,14.95,30.00,12.98,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User1,14.95,30.00,10.88,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User2,14.95,30.00,1.11,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User3,14.95,30.00,0.15,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User4,14.95,30.00,4.86,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User5,14.95,30.00,10.28,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User6,14.95,30.00,8.55,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User7,14.95,30.00,11.51,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User8,14.95,30.00,3.80,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User9,14.95,30.00,1.59,AP0,181.54,182.88,-0.73,1283.81,84133.86,85417.67
random,User0,14.95,30.00,1.96,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User1,14.95,30.00,12.23,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User2,14.95,30.00,5.30,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User3,14.95,30.00,5.87,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User4,14.95,30.00,4.71,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User5,14.95,30.00,7.39,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User6,14.95,30.00,1.86,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User7,14.95,30.00,2.75,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User8,14.95,30.00,5.76,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User9,14.95,30.00,7.17,AP0,184.21,187.70,-1.86,1307.88,83505.57,84813.45
random,User0,14.95,30.00,14.11,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User1,14.95,30.00,3.03,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User2,14.95,30.00,3.45,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User3,14.95,30.00,13.87,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User4,14.95,30.00,12.73,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User5,14.95,30.00,1.79,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User6,14.95,30.00,5.05,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User7,14.95,30.00,5.91,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User8,14.95,30.00,13.37,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User9,14.95,30.00,9.50,AP0,184.56,188.95,-2.32,1284.22,83160.03,84444.24
random,User0,14.95,30.00,12.58,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User1,14.95,30.00,9.26,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User2,14.95,30.00,2.95,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User3,14.95,30.00,6.07,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User4,14.95,30.00,0.62,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User5,14.95,30.00,5.15,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User6,14.95,30.00,11.92,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User7,14.95,30.00,14.58,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User8,14.95,30.00,2.39,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User9,14.95,30.00,12.84,AP0,187.33,188.67,-0.71,1259.89,84086.08,85345.97
random,User0,14.95,30.00,14.34,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User1,14.95,30.00,1.37,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User2,14.95,30.00,7.17,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User3,14.95,30.00,2.71,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User4,14.95,30.00,3.11,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User5,14.95,30.00,1.02,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User6,14.95,30.00,12.97,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User7,14.95,30.00,10.61,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User8,14.95,30.00,7.26,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User9,14.95,30.00,6.83,AP0,186.27,185.25,0.55,1244.21,83867.49,85111.71
random,User0,14.95,30.00,7.67,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User1,14.95,30.00,1.21,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User2,14.95,30.00,5.03,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User3,14.95,30.00,7.38,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User4,14.95,30.00,1.26,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User5,14.95,30.00,14.94,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User6,14.95,30.00,0.03,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User7,14.95,30.00,13.22,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User8,14.95,30.00,2.52,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User9,14.95,30.00,2.69,AP0,183.83,182.62,0.66,1206.43,84405.61,85612.04
random,User0,14.95,30.00,4.96,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User1,14.95,30.00,8.94,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User2,14.95,30.00,1.26,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User3,14.95,30.00,9.23,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User4,14.95,30.00,8.25,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User5,14.95,30.00,5.09,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User6,14.95,30.00,1.40,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User7,14.95,30.00,7.38,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User8,14.95,30.00,5.86,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User9,14.95,30.00,7.66,AP0,187.95,188.68,-0.38,1230.72,83408.32,84639.03
random,User0,14.95,30.00,0.30,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User1,14.95,30.00,12.83,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User2,14.95,30.00,11.86,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User3,14.95,30.00,2.00,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User4,14.95,30.00,5.77,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User5,14.95,30.00,7.62,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User6,14.95,30.00,5.34,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User7,14.95,30.00,7.53,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User8,14.95,30.00,14.33,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User9,14.95,30.00,4.30,AP0,175.22,181.07,-3.23,1231.68,84059.66,85291.34
random,User0,14.95,30.00,1.88,AP0,185.43,183.66,0.96,1266.92,82961.40,84228.32
random,User1,14.95,30.00,1.65,AP0,185.43,183.66,0.96,1266.92,82961.40,84228.32
random,User2,14.95,30.00,1.14,AP0,185.43,183.66,0.96,1266.92,82961.40,84228.32
random,User3,14.95,30.00,0.99,AP0,185.43,183.66,0.96,1266.92,82961.40,84228.32
random,User4,14.95,30.00,5.11,AP0,185.43,183.66,0.96,1266.92,82961.40,84228.32
random,User5,14.95,30.00,6.85,AP0,185.43,183.66,0.96,1266.92,82961.40,84228.32
